  -1.  -6.   7.   5.  -2.   6.   1.  -2.   7.   4.  -4.  -6.  -5.  -8.
   0. -16.  -4.  -2.   5.   5.   7.  -4.  -3.   0.   0.  -8.   0.   2.
   5.   2. -20.   2.  -5.   5.  -4.   2.  -7.  -7.   0.  -5.   0.   8.
  -2.  -3.  -7.  -1.   2.   1.  -6.   0.  -2.   8.  -6.   1.   4.   3.
  -2.  -6.   3.  -3.   5.  -1.  -6.  -4.  -8.   2.   5.  -2.  -2.   7.
  -4.   5.  -1.  -3.   0. -32.   5.  -3.   1.   8.   4.  -2.  -7.  -1.
   1.   6.   3.   4.   5.  -7.  -9.   6.  -6.  -6.   6.   6.  -2.   3.
  -3.  -1.  -3.   6.   0.   5.   0.  15.   2.   4.   1.   6.   5.   5.
   0.  -1.   8.  -2.  -1.   4.   7.   2.   3.   0.   8.   1.   1.   2.
  -1.  -3.   6.   6.   7.   5.  -5.   3.   7.   5.  -8.   6.  -4.   2.
   4.  -6.   0.  -7.  -1.   5.  -2.   1.   8.  -7.  44.  -1.   5.   7.
   5.  -7.  -1.  -8.   1.  -1.   6.   0.  -4.   8.  -3.   5.  -6.   7.
  -4.  -8.  -8.   8.   5.   7.   5.   1.   8.   0.   7.  -4.  15.   8.
   0.   8.  -1.   2.   1.   3.   2.   0.   6.  -7.  -6.  -6.  -6.  -2.
