1    1    -4.
2    1     4.
13    1     8.
23    1    -7.
2    2    -3.
8    2     4.
9    2    -8.
19    2    -1.
20    2     6.
24    2    -4.
26    2     1.
1    3     7.
2    3     3.
3    3    -5.
8    3    -7.
18    3     1.
2    4    -1.
4    4    -3.
7    4    -1.
9    4     1.
12    4     5.
19    4    -1.
2    5    -1.
5    5     5.
13    5     7.
15    5     1.
21    5    -4.
6    6     6.
15    6    -1.
5    7     8.
7    7    10.
14    7     5.
17    7    -7.
19    7    -7.
23    7     5.
3    8     4.
5    8     4.
8    8    18.
15    8    -5.
1    9     7.
9    9    -4.
24    9    -4.
10   10    -1.
23   10    -8.
3   11    -7.
11   11    -2.
13   11    -5.
22   11     2.
23   11     2.
7   12    -2.
12   12   -13.
15   12     6.
19   12    -3.
4   13    -8.
13   13   -19.
25   13     5.
6   14     5.
9   14     4.
12   14    -6.
14   14   -13.
25   14    -5.
9   15     7.
15   15    -8.
20   15    -8.
23   15    -6.
2   16     6.
4   16     7.
8   16     4.
16   16    -7.
17   16    -3.
22   16    -5.
26   16    -2.
17   17     3.
23   17    -4.
24   17    -8.
18   18    -2.
23   18    -1.
26   18     5.
3   19    -6.
4   19     7.
5   19     6.
6   19    -1.
13   19    -7.
19   19    -9.
21   19    -5.
23   19    -7.
5   20    -7.
20   20    -6.
21   20    -5.
12   21    -3.
21   21   -21.
27   21    -6.
12   22    -4.
14   22     1.
15   22     4.
20   22    -4.
22   22     3.
27   22    -4.
8   23    -3.
10   23     1.
11   23    -5.
12   23     5.
14   23    -7.
15   23    -5.
23   23    18.
7   24     4.
11   24     3.
17   24    -6.
19   24    -2.
21   24    -7.
24   24   -16.
26   24    -8.
2   25     4.
4   25    -5.
7   25    -7.
18   25     3.
19   25    -5.
25   25    10.
1   26    -4.
13   26    -6.
16   26     7.
17   26     1.
26   26   -12.
27   27   -10.
